in s,C1 in V
-3.00000E-05,-2.80859E-02
-3.00000E-05,1.21094E-03
-2.99992E-05,-3.78516E-02
-2.99992E-05,-8.55469E-03
-2.99984E-05,-3.78516E-02
-2.99984E-05,2.07422E-02
-2.99976E-05,-8.55469E-03
-2.99976E-05,2.07422E-02
-2.99968E-05,-1.83203E-02
-2.99968E-05,1.09766E-02
-2.99960E-05,-3.78516E-02
-2.99960E-05,1.09766E-02
-2.99952E-05,-3.78516E-02
-2.99952E-05,1.21094E-03
-2.99944E-05,-8.55469E-03
-2.99944E-05,2.07422E-02
-2.99936E-05,1.21094E-03
-2.99936E-05,2.07422E-02
-2.99928E-05,-8.55469E-03
-2.99928E-05,1.09766E-02
-2.99920E-05,-8.55469E-03
-2.99920E-05,1.21094E-03
-2.99912E-05,-8.55469E-03
-2.99912E-05,2.07422E-02
-2.99904E-05,-1.83203E-02
-2.99904E-05,2.07422E-02
-2.99896E-05,-1.83203E-02
-2.99896E-05,2.07422E-02
-2.99888E-05,1.21094E-03
-2.99888E-05,2.07422E-02
-2.99880E-05,-1.83203E-02
-2.99880E-05,2.07422E-02
-2.99872E-05,-1.83203E-02
-2.99872E-05,2.07422E-02
-2.99864E-05,-1.83203E-02
-2.99864E-05,2.07422E-02
-2.99856E-05,-1.83203E-02
-2.99856E-05,1.09766E-02
-2.99848E-05,-8.55469E-03
-2.99848E-05,1.09766E-02
-2.99840E-05,-8.55469E-03
-2.99840E-05,1.21094E-03
-2.99832E-05,-1.83203E-02
-2.99832E-05,1.21094E-03
-2.99824E-05,-1.83203E-02
-2.99824E-05,1.21094E-03
-2.99816E-05,1.21094E-03
-2.99816E-05,2.07422E-02
-2.99808E-05,-1.83203E-02
-2.99808E-05,2.07422E-02
-2.99800E-05,-1.83203E-02
-2.99800E-05,1.21094E-03
-2.99792E-05,-3.78516E-02
-2.99792E-05,-8.55469E-03
-2.99784E-05,-3.78516E-02
-2.99784E-05,1.21094E-03
-2.99776E-05,-1.83203E-02
-2.99776E-05,1.21094E-03
-2.99768E-05,-1.83203E-02
-2.99768E-05,1.21094E-03
-2.99760E-05,-1.83203E-02
-2.99760E-05,1.09766E-02
-2.99752E-05,-2.80859E-02
-2.99752E-05,1.09766E-02
-2.99744E-05,-2.80859E-02
-2.99744E-05,1.21094E-03
-2.99736E-05,-1.83203E-02
-2.99736E-05,-8.55469E-03
-2.99728E-05,-1.83203E-02
