time (s),C1 (V)
-1.20E-06,1.18359E-02
-1.20E-06,-1.75E-02
-1.20E-06,-1.75E-02
-1.20E-06,2.07031E-03
-1.20E-06,2.16016E-02
-1.20E-06,2.07031E-03
-1.20E-06,2.07031E-03
-1.20E-06,-2.72E-02
-1.20E-06,1.18359E-02
-1.20E-06,1.18359E-02
-1.20E-06,-7.70E-03
-1.20E-06,-7.70E-03
-1.20E-06,2.07031E-03
-1.19E-06,2.07031E-03
-1.19E-06,2.16016E-02
-1.19E-06,2.07031E-03
-1.19E-06,1.18359E-02
-1.19E-06,-1.75E-02
-1.19E-06,-2.72E-02
-1.19E-06,2.16016E-02
-1.19E-06,2.16016E-02
-1.19E-06,-2.72E-02
-1.19E-06,2.07031E-03
-1.19E-06,2.07031E-03
-1.19E-06,-7.70E-03
-1.19E-06,-7.70E-03
-1.19E-06,2.16016E-02
-1.19E-06,2.16016E-02
-1.19E-06,3.13672E-02
-1.19E-06,1.18359E-02
-1.19E-06,-7.70E-03
-1.19E-06,1.18359E-02
-1.19E-06,2.07031E-03
-1.19E-06,-7.70E-03
-1.19E-06,-7.70E-03
-1.19E-06,-1.75E-02
-1.19E-06,2.07031E-03
-1.19E-06,2.07031E-03
-1.18E-06,-7.70E-03
-1.18E-06,-7.70E-03
-1.18E-06,1.18359E-02
-1.18E-06,2.16016E-02
-1.18E-06,1.18359E-02
-1.18E-06,2.07031E-03
-1.18E-06,5.08984E-02
-1.18E-06,4.11328E-02
-1.18E-06,3.13672E-02
-1.18E-06,1.18359E-02
-1.18E-06,2.07031E-03
-1.18E-06,-7.70E-03
-1.18E-06,1.18359E-02
-1.18E-06,2.07031E-03
-1.18E-06,-1.75E-02
-1.18E-06,1.18359E-02
-1.18E-06,-2.72E-02
-1.18E-06,2.07031E-03
-1.18E-06,5.08984E-02
-1.18E-06,3.13672E-02
-1.18E-06,2.07031E-03
-1.18E-06,-7.70E-03
-1.18E-06,3.13672E-02
-1.18E-06,-7.70E-03
-1.18E-06,1.18359E-02
-1.17E-06,2.16016E-02
-1.17E-06,2.07031E-03
-1.17E-06,1.18359E-02
-1.17E-06,1.18359E-02
-1.17E-06,2.07031E-03
-1.17E-06,3.13672E-02
-1.17E-06,2.07031E-03
-1.17E-06,2.07031E-03
-1.17E-06,2.07031E-03
-1.17E-06,-1.75E-02
-1.17E-06,1.18359E-02
-1.17E-06,2.07031E-03
-1.17E-06,3.13672E-02
-1.17E-06,-7.70E-03
-1.17E-06,2.07031E-03
-1.17E-06,2.16016E-02
-1.17E-06,3.13672E-02
-1.17E-06,-2.72E-02
-1.17E-06,2.16016E-02
-1.17E-06,2.16016E-02
-1.17E-06,2.16016E-02
-1.17E-06,1.18359E-02
-1.17E-06,3.13672E-02
-1.17E-06,3.13672E-02
-1.17E-06,-7.70E-03
-1.16E-06,3.13672E-02
-1.16E-06,2.16016E-02
-1.16E-06,2.07031E-03
-1.16E-06,1.18359E-02
-1.16E-06,-7.70E-03
-1.16E-06,1.18359E-02
-1.16E-06,3.13672E-02
-1.16E-06,1.18359E-02
-1.16E-06,2.16016E-02
-1.16E-06,-1.75E-02
-1.16E-06,3.13672E-02
-1.16E-06,2.07031E-03
-1.16E-06,1.18359E-02
-1.16E-06,-7.70E-03
-1.16E-06,-2.72E-02
-1.16E-06,-7.70E-03
-1.16E-06,1.18359E-02
-1.16E-06,1.18359E-02
-1.16E-06,2.07031E-03
-1.16E-06,1.18359E-02
-1.16E-06,2.16016E-02
-1.16E-06,1.18359E-02
-1.16E-06,3.13672E-02
-1.16E-06,-7.70E-03
-1.16E-06,3.13672E-02
-1.15E-06,-7.70E-03
-1.15E-06,1.18359E-02
-1.15E-06,2.07031E-03
-1.15E-06,2.07031E-03
-1.15E-06,1.18359E-02
-1.15E-06,1.18359E-02
-1.15E-06,2.07031E-03
-1.15E-06,1.18359E-02
-1.15E-06,2.16016E-02
-1.15E-06,1.18359E-02
-1.15E-06,2.07031E-03
-1.15E-06,2.16016E-02
-1.15E-06,1.18359E-02
-1.15E-06,1.18359E-02
-1.15E-06,-7.70E-03
-1.15E-06,1.18359E-02
-1.15E-06,2.16016E-02
-1.15E-06,2.07031E-03
-1.15E-06,-7.70E-03
-1.15E-06,4.11328E-02
-1.15E-06,-7.70E-03
-1.15E-06,1.18359E-02
-1.15E-06,1.18359E-02
-1.15E-06,2.07031E-03
-1.15E-06,1.18359E-02
-1.14E-06,1.18359E-02
-1.14E-06,-7.70E-03
-1.14E-06,2.07031E-03
-1.14E-06,1.18359E-02
-1.14E-06,1.18359E-02
-1.14E-06,2.07031E-03
-1.14E-06,-7.70E-03
-1.14E-06,-1.75E-02
-1.14E-06,-7.70E-03
-1.14E-06,3.13672E-02
-1.14E-06,1.18359E-02
-1.14E-06,-7.70E-03
-1.14E-06,1.18359E-02
-1.14E-06,1.18359E-02
-1.14E-06,4.11328E-02
-1.14E-06,2.16016E-02
-1.14E-06,2.07031E-03
-1.14E-06,4.11328E-02
-1.14E-06,3.13672E-02
-1.14E-06,5.08984E-02
-1.14E-06,1.18359E-02
-1.14E-06,2.16016E-02
-1.14E-06,2.16016E-02
-1.14E-06,2.07031E-03
-1.14E-06,2.07031E-03
-1.13E-06,3.13672E-02
-1.13E-06,2.16016E-02
-1.13E-06,2.16016E-02
-1.13E-06,2.16016E-02
-1.13E-06,2.16016E-02
-1.13E-06,1.18359E-02
-1.13E-06,3.13672E-02
-1.13E-06,4.11328E-02
-1.13E-06,-7.70E-03
-1.13E-06,2.16016E-02
-1.13E-06,1.18359E-02
-1.13E-06,5.08984E-02
-1.13E-06,-7.70E-03
-1.13E-06,3.13672E-02
-1.13E-06,2.16016E-02
-1.13E-06,-7.70E-03
-1.13E-06,1.18359E-02
-1.13E-06,1.18359E-02
-1.13E-06,-7.70E-03
-1.13E-06,1.18359E-02
-1.13E-06,1.18359E-02
-1.13E-06,2.16016E-02
-1.13E-06,4.11328E-02
-1.13E-06,2.07031E-03
-1.13E-06,1.18359E-02
-1.12E-06,2.16016E-02
-1.12E-06,5.08984E-02
-1.12E-06,1.18359E-02
-1.12E-06,1.18359E-02
-1.12E-06,2.16016E-02
-1.12E-06,1.18359E-02
-1.12E-06,1.18359E-02
-1.12E-06,2.16016E-02
-1.12E-06,4.11328E-02
-1.12E-06,5.08984E-02
-1.12E-06,1.18359E-02
-1.12E-06,3.13672E-02
-1.12E-06,2.16016E-02
-1.12E-06,3.13672E-02
-1.12E-06,1.18359E-02
-1.12E-06,2.16016E-02
-1.12E-06,2.16016E-02
-1.12E-06,2.07031E-03
-1.12E-06,2.16016E-02
-1.12E-06,1.18359E-02
-1.12E-06,-7.70E-03
-1.12E-06,3.13672E-02
-1.12E-06,2.07031E-03
-1.12E-06,2.16016E-02
-1.12E-06,2.07031E-03
-1.11E-06,4.11328E-02
-1.11E-06,2.07031E-03
-1.11E-06,2.16016E-02
-1.11E-06,4.11328E-02
-1.11E-06,3.13672E-02
-1.11E-06,1.18359E-02
-1.11E-06,3.13672E-02
-1.11E-06,3.13672E-02
-1.11E-06,3.13672E-02
-1.11E-06,1.18359E-02
-1.11E-06,1.18359E-02
-1.11E-06,2.16016E-02
-1.11E-06,1.18359E-02
-1.11E-06,1.18359E-02
-1.11E-06,1.18359E-02
-1.11E-06,-1.75E-02
-1.11E-06,1.18359E-02
-1.11E-06,1.18359E-02
-1.11E-06,1.18359E-02
-1.11E-06,1.18359E-02
-1.11E-06,3.13672E-02
-1.11E-06,1.18359E-02
-1.11E-06,3.13672E-02
-1.11E-06,2.07031E-03
-1.11E-06,-7.70E-03
-1.10E-06,1.18359E-02
-1.10E-06,1.18359E-02
-1.10E-06,2.07031E-03
-1.10E-06,3.13672E-02
-1.10E-06,2.07031E-03
-1.10E-06,2.07031E-03
-1.10E-06,1.18359E-02
-1.10E-06,-7.70E-03
-1.10E-06,-1.75E-02
-1.10E-06,2.16016E-02
-1.10E-06,1.18359E-02
-1.10E-06,4.11328E-02
-1.10E-06,2.16016E-02
-1.10E-06,4.11328E-02
-1.10E-06,5.08984E-02
-1.10E-06,4.11328E-02
-1.10E-06,1.18359E-02
-1.10E-06,-1.75E-02
-1.10E-06,1.18359E-02
-1.10E-06,-7.70E-03
-1.10E-06,-7.70E-03
-1.10E-06,1.18359E-02
-1.10E-06,-7.70E-03
-1.10E-06,-1.75E-02
-1.10E-06,5.08984E-02
-1.09E-06,-7.70E-03
-1.09E-06,1.18359E-02
-1.09E-06,3.13672E-02
-1.09E-06,2.16016E-02
-1.09E-06,4.11328E-02
-1.09E-06,1.18359E-02
-1.09E-06,2.16016E-02
-1.09E-06,2.07031E-03
-1.09E-06,5.08984E-02
-1.09E-06,4.11328E-02
-1.09E-06,1.18359E-02
-1.09E-06,-7.70E-03
-1.09E-06,-7.70E-03
-1.09E-06,2.16016E-02
-1.09E-06,-1.75E-02
-1.09E-06,1.18359E-02
-1.09E-06,1.18359E-02
